product_name countries fat_100g proteins_100g carbohydrates_100g nutrition-score-fr_100g salt_100g fiber_100g
Party-Rounds-Pumpernickel Deutschland 2 5 35 -1 1 10
Pain-complet-de-seigle France 1 5 36 -2 1 11
afri-cola-Bonbons Allemagne 0 0 95 14 0 0
Soma France 80 0 0 12 0 0
Huile-vierge-de-Coco France 100 0 0 15 0 0
Jambon-cuit-Choix France 3 18 2 5 2 0
Kakao-Düsis Deutschland 3 16 67 -4 0 9
Energie-Bombe Deutschland 28 9 39 11 0 7
Filets-de-saumon-au-miel-et-moutarde,-en-pâte-feuilletée Suisse 17 9 20 10 1 1
cranberry-&-multifruits France 0 0 13 2 0 0
Kinder-Em-eukal-Wildkirsche Österreich 0 0 97 14 0 0
Velamints France 0 0 97 2 0 0
Çiftlik-Peyniri Deutschland 23 15 0 18 3 0
Candy-Jock-Strap France 0 0 97 15 0 0
Apfel-Birnensaft-naturtrüb Deutschland 0 0 10 4 0 0
Apfel-Kirschsaft Deutschland 0 0 11 4 0 0
Natives-Olivenöl-extra Deutschland 91 0 0 12 0 0
Emmentaler-gerieben Deutschland 30 31 0 13 1 0
Feta Deutschland 23 16 1 8 0 0
Стерилизованное-варенье-клубничное Франция,Россия 0 0 64 12 0 0
Coca-Cola-light France 0 0 0 1 0 0
Diet-Coke United-Kingdom 0 0 0 1 0 0
Coca-Cola-Light-Jean-Paul-Gaultier-2012 France 0 0 0 1 0 0
Coca-Cola-Light France 0 0 0 1 0 0
sardines-in-olive-oil United-Kingdom 14 23 0 3 1 0
Respir-aise Belgique 0 0 97 2 0 0
Crisp--n-Dry-Vegetable-Oil-100%-Rapeseed-Oil United-Kingdom 92 0 0 10 0 0
Finest-Beef-Dripping United-Kingdom 100 0 0 18 0 0
Rescue-Pastillen-Schwarze-Johannisbeere-Cassis Deutschland 1 1 49 -4 0 32
Granulated-Fairtrade-Cane-Sugar United-Kingdom 0 0 100 15 0 0
Pure-pressed-juice---Apple United-Kingdom 0 0 12 5 0 0
Piña-&quot;Del-Monte&quot; España 0 1 14 -4 0 1
Toasted-sesame-oil United-Kingdom 100 0 0 11 0 0
Extra-Virgin-Olive-Oil United-States 100 0 0 11 0 0
Cranberry-Juice-Drink United-Kingdom 0 0 12 2 0 0
Le-jus-d'olive France 100 0 0 10 0 0
Sachets-de-the---the-noir-melange-de-ceyan Belgique,France 0 0 0 1 0 0
Huile-de-tournesol France 100 0 0 12 0 0
Huile-d'Olive-Vierge-Extra France 91 0 0 11 0 0
new-Schweppes-orange Belgique 0 0 6 8 0 0
Huile-de-Tournesol France 100 0 0 11 0 0
Huile-de-tournesol France 100 0 0 11 0 0
Coca-Cola-sans-caféine France 0 0 11 15 0 0
Coca-Cola-light France 0 0 0 1 0 0
Coca-Cola-Light France 0 0 0 1 0 0
Coca-cola-light-2L France 0 0 0 1 0 0
Coca-Cola-Light Belgique,France 0 0 0 1 0 0
Coca-Cola-Light---sans-caféine,-sans-sucre France 0 0 0 1 0 0
Château-trop-trop-ouf,-saveur-fruits-rouges France 0 0 9 12 0 0
Coca-Cola-Light-Jean-Paul-Gaultier-2012 France 0 0 0 1 0 0
D-Fence-Pomme---Framboise France 0 0 3 4 0 0
Vitamin-Water-Essential-orange-orange United-Kingdom 0 0 3 4 0 0
Coca-cola-light Portugal 0 0 0 1 0 0
Coca-Cola-sans-caféine France 0 0 11 15 0 0
Néctar-de-pêssego Portugal 0 0 11 14 0 0
Huile-de-palme-biologique France 100 0 0 17 0 0
Huile-d'olive-vierge-extra France 100 0 0 11 0 0
Truffes-au-chocolat-Fazerina France 35 8 53 26 0 0
VÉRITABLE-PAIN-CRAQUANT-NORVÉGIEN-HERBES-ET-SEL-DE-MER France 26 19 32 10 2 15
krisprolls-briochée France 10 10 71 6 0 4
Risotto-Carnaroli-aux-morilles Suisse 6 3 70 11 8 3
Noisettes-moulues Switzerland 61 15 7 -4 0 10
Pois-Jaunes Suisse 1 21 57 -11 0 17
Huile-végétale-M-Budget, Switzerland 92 0 0 10 0 0
Schweppes-Grapefruit-fusion Suisse 0 0 9 12 0 0
Ricola-aux-plantes France 0 0 98 14 0 0
Réglisse-sans-sucres France 1 0 96 2 0 0
Ricola-Eucalyptus France 0 0 97 2 0 0
Ricola-OrangeMenthe France 0 0 96 2 0 0
Bonbons-Suisses-aux-plantes France 0 0 97 2 0 0
Ricola-Réglisse-sans-sucres France 1 0 96 2 0 0
Salbei Deutschland 0 0 97 12 0 0
Cassis-Bonbons-suisses-aux-plantes France 0 0 96 2 0 0
Ricola-Menthol-extra-fort France 0 0 97 2 0 0
Fleurs-de-sureau Dänemark,Frankreich,Deutschland 0 0 97 2 0 0
Ricola-Cranberry-Bonbons-suisses-aux-plantes France,Portugal 0 0 97 2 0 0
Ricola-argousier France 0 0 96 2 0 0
Ricola-Verveine-citronnée France 0 0 98 2 0 0
Bonbon-suisse-aux-plantes-sans-sucres-Menthe-des-Montagnes France 0 0 98 2 0 0
Hafernüssli Suisse 7 0 64 -1 0 9
Sirop-d'érable-bio Switzerland 0 0 89 14 0 0
Amandes-entières Suisse 54 22 5 -4 0 14
Ice-Tea-Lemon Suisse 0 0 8 11 0 0
Oursons-aux-fruits France,Suisse 0 8 74 13 0 0
Chocolat-noir-aux-pépites France 43 9 31 17 0 12
Perrier-saveur-agrumes-sans-sucres France 0 0 0 1 0 0
Perrier-saveur-citron-vert France 0 0 0 1 0 0
Chocolat-noir Suisse 29 0 57 21 0 5
Spaghetti-bolognese Suisse 7 16 62 10 2 4
Sirop-Mojito Switzerland 0 0 11 2 0 0
Quorn-Assiette-de-charcuterie- Switzerland 10 16 8 7 2 4
Taboulé-avec-mangue Suisse 9 4 24 -2 1 2
Mini-mozzarella-di-latte-di-bufala Suisse 23 13 1 12 1 0
Ciabatta-oeuf Suisse 9 11 28 2 1 2
Salade-de-boulgour-avec-dip-de-hoummous Suisse 5 4 14 -7 1 4
Ravioli-pesto-all'aglio-orsino Suisse 6 11 35 1 1 2
Aproz-O2-Function-Ananas-Lime Suisse 0 0 4 6 0 0
Quinoa-Mix-green-asparagus Suisse 15 4 11 3 1 2
Nectar-d'airelle Suisse 0 1 17 20 0 0
Les-Adorables-Cremetta Suisse 24 3 61 20 0 4
Granulés-au-cacao-Patissier Suisse 19 4 65 25 0 0
Chili-con-carne Suisse 6 6 11 -2 1 4
Wellness-Crisp Suisse 2 10 64 0 1 16
Corn-Flakes Suisse 1 8 80 -1 1 5
M-Budget-Cacahuètes-salées Suisse 50 25 14 15 1 7
Canderel-Sweetness-from-a-leaf United-Kingdom 0 2 100 3 0 0
Cola France,Suisse 0 0 10 13 0 0
Pâte-de-patate-douce-à-la-vanille-sans-gluten Argentina 0 0 61 7 0 2
Extra-Vergine Deutschland 91 0 0 11 0 0
Zucchero-semolato Italy 0 0 100 14 0 0
Sirop-d'agave-bio-du-Mexique- France 0 0 98 13 0 0
Pure-Fresh-parfum-Fresh-Mint-au-Thé-vert France 0 0 70 -2 0 3
Paccheri Italia 1 12 72 -5 0 3
Agavi Italia 0 0 40 5 0 4
Huile-d'olive-vierge-extra-Monini-Classico France 100 0 0 20 0 0
Chewing-gum-Pure-Fresh-Haleine-Pure-parfum-Fresh-Mint France 0 0 70 -2 0 3
