indice product_name packaging additives_fr nutrition-score-fr_100g
177 Iced-Coffee # E440-Pectines 10
178 Starbucks-Frappuccino-Chilled-Coffee-Drink,-Vanilla bottle # #
179 Pepsi Bottle E150a-CaramelE150a,E338-Acideorthophosphorique,E330-Acidecitrique #
180 Brisk-Iced-Tea-Mango Can # #
181 Amp-Energy-Cherry-Blast Can E330-Acidecitrique,E211-Benzoatedesodium,E440-Pectines,E414-Gommed'acacia,E955-Sucralose,E129-RougealluraAC,E385-Éthylènediaminetétra-acétatedecalciumdisodium,E101-Riboflavine #
182 Mountain-dew-Kickstart # # #
183 Lemon-lime-flavored-soda Bottle # 0
184 Pure-leaf- # # #
185 Sierra-Mist # # #
186 Strawberry-Lemonade can # -2
187 Frappuccino Glass # #
188 Applewood-smoked-and-outdoor-bred-British-bacon-rashers # # #
189 Microwave-Mexican-rice # # #
190 Brown-Rice Plastic # -6
191 Whole-british-milk 2HDPE,Nampak # #
192 Purified-Drinking-Water-with-flavor-enhancing-minerals # # #
193 Tomato-ketchup # # #
194 Organic-cherry-tomatoes # # #
195 Baguette-Brötchen # # #
196 Jamaican-Jerk-Chicken-Soup # # #
197 Galette-frangipane-premium # # #
198 led # # #
199 citrus-grey-fairtrade-fine-tea # # #
200 mini-chocolate-logs # # #
201 Organic-Blue-Agave Bottle,plastic # #
202 Agave bottle # #
203 Organic-Raw-Blue-Agave Bottle,Plastic # #
204 Organic-Sugar- # # 0
205 Organic-Coconut-Palm-Sugar Plastic # 0
206 Caramel-Popcorn # # #
207 Trident---mint-bliss---artificially-favoured # # #
208 Dentyne-fire # E420-Sorbitol,E965-Maltitol,E421-Mannitol,E950-AcésulfameK,E321-Buthylhydroxytoluène,E902-CiredeCandelilla,E422-Glycérol,E322-Lécithines,E171-Oxydedetitane #
209 Bubblegum Paper,Plastic E321-Buthylhydroxytoluène,E422-Glycérol,E171-Oxydedetitane #
210 Strawberry Paper,Plastic E355-Acideadipique,E321-Buthylhydroxytoluène,E330-Acidecitrique,E422-Glycérol,E296-Acidemalique,E322-Lécithines #
